Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,Iso_g_raw,log_mixAGB,log_isoAGB,CompEffect,AGB_g,BGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,SeedHead,PhaseNum,Control_CompEffect,CompEff_standard
1,East,12,B,Short,Control,Mix,Rye,RyeMix,34.38,113.44,61.67,1.536305872,1.790073948,0.253768076,34.38,113.44,17.08008208,294.08867,35.35,50,0,2,0.19165497,0.062113106
1,East,16,B,Short,Control,Mix,Rye,RyeMix,41.61,114.98,61.67,1.619197716,1.790073948,0.170876232,41.61,114.98,17.26830472,263.681592,35.3,30,0,2,0.19165497,-0.020778738
2,West,4,B,Short,Recovery,Mix,Rye,RyeMix,13.1,36.21,27.537802,1.117271296,1.439929273,0.322657977,13.1,36.21,31.82772434,254.4776119,39.55,70,0,1,0.19165497,0.131003007
2,West,6,B,Short,Recovery,Mix,Rye,RyeMix,16.12,45.37,27.537802,1.207365037,1.439929273,0.232564236,16.12,45.37,27.23396,264.3171806,42,60,0,1,0.19165497,0.040909266
4,East,1,B,Short,Recovery,Mix,Rye,RyeMix,16.57,31.65,27.537802,1.219322508,1.439929273,0.220606765,16.57,31.65,33.25411737,245.1785714,49.15,55,0,1,0.19165497,0.028951795
4,East,5,C,Short,Recovery,Mix,Rye,RyeMix,12.81,34.19,27.537802,1.10754913,1.439929273,0.332380143,12.81,34.19,29.84658862,253.4084,40.8,60,0,1,0.19165497,0.140725173
5,East,6,C,Short,Recovery,Mix,Rye,RyeMix,9.02,29.34,27.537802,0.955206538,1.439929273,0.484722735,9.02,29.34,26.72488471,255.1094891,43.4,60,0,1,0.19165497,0.293067765
5,East,10,A,Short,Recovery,Mix,Rye,RyeMix,11.91,32.49,27.537802,1.075911761,1.439929273,0.364017512,11.91,32.49,29.13660395,249.084084,41.8,70,0,1,0.19165497,0.172362542
2,West,11,C,Short,Resistance,Mix,Rye,RyeMix,10.35,9.5892,12.051429,1.01494035,1.081038546,0.066098196,10.35,9.5892,22.362,307.13,41.9,50,0,0,0.19165497,-0.125556774
2,West,16,A,Short,Resistance,Mix,Rye,RyeMix,10.93,11.6032,12.051429,1.038620162,1.081038546,0.042418384,10.93,11.6032,23.8,303.79,37,70,0,0,0.19165497,-0.149236586
4,East,11,B,Short,Resistance,Mix,Rye,RyeMix,11.7,17.2832,12.051429,1.068185862,1.081038546,0.012852684,11.7,17.2832,NA,NA,34.9,45,0,0,0.19165497,-0.178802286
4,East,16,B,Short,Resistance,Mix,Rye,RyeMix,12.23,16.0082,12.051429,1.087426457,1.081038546,-0.006387911,12.23,16.0082,22.24,300.51,37.4,45,0,0,0.19165497,-0.198042881
5,East,12,C,Short,Resistance,Mix,Rye,RyeMix,10.21,25.87,12.051429,1.009025742,1.081038546,0.072012804,10.21,25.87,25.63,295.57,47.1,60,0,0,0.19165497,-0.119642166
5,East,15,B,Short,Resistance,Mix,Rye,RyeMix,8.93,20.99,12.051429,0.950851459,1.081038546,0.130187087,8.93,20.99,,,,,,0,0.19165497,-0.061467883
