Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,Iso_g_raw,log_mixAGB,log_isoAGB,CompEffect,AGB_g,BGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,SeedHead,PhaseNum,Control_CompEffect,CompEff_standard
5,West,15,A,Double,Resistance,Mix,Pha,PhaMix,6.58,26.93,24.03,0.818225894,1.380753771,0.562527877,6.58,26.93,22.94507531,256.9892473,37.3,40,0,0,0.31227201,0.250255867
6,West,5,A,Double,Resistance,Mix,Pha,PhaMix,5.87,29.2,24.03,0.768638101,1.380753771,0.61211567,5.87,29.2,24.70725882,230.2681992,38.8,30,0,0,0.31227201,0.29984366
6,West,10,C,Double,Resistance,Mix,Pha,PhaMix,5.64,30.71,24.03,0.751279104,1.380753771,0.629474667,5.64,30.71,23.45308885,212.4651129,43.8,40,0,0,0.31227201,0.317202657
3,East,3,B,Double,Control,Mix,Rye,RyeMix,41.1,132.73,87.345,1.613841822,1.941238049,0.327396227,41.1,132.73,19.04526923,160.0547196,24.05,140,38,2,0.28484924,0.042546987
3,East,5,B,Double,Control,Mix,Rye,RyeMix,54.13,119.58,87.345,1.733438027,1.941238049,0.207800022,54.13,119.58,20.60057075,178.8708134,32.1,140,4,2,0.28484924,-0.077049218
3,East,7,B,Double,Control,Mix,Rye,RyeMix,43.58,118.96,87.345,1.639287226,1.941238049,0.301950823,43.58,118.96,18.39375527,174.7380346,28.95,110,8,2,0.28484924,0.017101583
3,East,9,B,Double,Control,Mix,Rye,RyeMix,43.55,98.27,87.345,1.638988159,1.941238049,0.30224989,43.55,98.27,19.09185714,167.6089109,24.1,80,2,2,0.28484924,0.01740065
3,West,1,C,Double,Recovery,Mix,Rye,RyeMix,42.94,102.91,55.83,1.63286204,1.746867628,0.114005588,42.94,102.91,25.50055949,182.0276498,44.45,130,0,1,0.28484924,-0.170843652
3,West,6,C,Double,Recovery,Mix,Rye,RyeMix,38.1,112.93,55.83,1.580924976,1.746867628,0.165942652,38.1,112.93,26.82520695,180.8180783,34.6,60,0,1,0.28484924,-0.118906588
5,West,4,C,Double,Recovery,Mix,Rye,RyeMix,37.72,137.12,55.83,1.576571684,1.746867628,0.170295944,37.72,137.12,28.01720333,180.4545455,42.4,60,0,1,0.28484924,-0.114553296
5,West,8,C,Double,Recovery,Mix,Rye,RyeMix,37.24,144.86,55.83,1.571009672,1.746867628,0.175857956,37.24,144.86,27.54606957,185.483871,52.8,80,0,1,0.28484924,-0.108991284
6,West,3,C,Double,Recovery,Mix,Rye,RyeMix,44.26,137.55,55.83,1.64601141,1.746867628,0.100856218,44.26,137.55,26.13842058,191.0447761,54.65,130,10,1,0.28484924,-0.183993022
6,West,14,A,Double,Recovery,Mix,Rye,RyeMix,39.98,92.5,55.83,1.60184279,1.746867628,0.145024838,39.98,92.5,26.5948652,182.6923077,49.15,70,0,1,0.28484924,-0.139824402
3,West,10,B,Double,Resistance,Mix,Rye,RyeMix,17.16,33.72,16.388333,1.234517284,1.21453478,-0.019982504,17.16,33.72,28.21551345,262.3529412,41.9,30,0,0,0.28484924,-0.304831744
3,West,16,C,Double,Resistance,Mix,Rye,RyeMix,23.8,29.17,16.388333,1.376576957,1.21453478,-0.162042177,23.8,29.17,27.91617595,256.445993,43.95,25,0,0,0.28484924,-0.446891417
