Shelter,Sidex,Rep,sRep,AGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,Side,Trt,Ttype,SeedHead
6,W,4,A,36.27,27.64484571,172.4137931,48.75,55,West,Double,Recovery,0
4,E,15,A,14.24,27.63,182.61,38.8,105,East,Short,Resistance,0
5,W,8,C,27.24,27.54606957,185.483871,52.8,80,West,Double,Recovery,0
1,W,14,A,13.12,27.53630323,222.4880383,45.1,110,West,Long,Resistance,0
3,W,12,A,26.25,27.53038977,175.5417957,43.3,NA,West,Double,Resistance,0
4,E,13,A,0.05,27.52,162.38,42.2,40,East,Short,Resistance,0
3,E,5,A,13.28,27.48912847,198.3471074,30.6,120,East,Double,Control,2
1,W,5,A,5.84,27.45924924,182.7777778,39.5,40,West,Long,Resistance,0
2,E,9,B,20.9,27.43783621,184.8605578,34.1,60,East,Long,Control,0
5,W,11,A,10.66,27.39670909,183.8440111,NA,NA,West,Double,Resistance,NA
2,E,9,C,14.7,27.33069972,210.6179286,36.5,100,East,Long,Control,0
4,W,11,A,14.74,27.31416473,208.1024931,52.8,310,West,Long,Recovery,0
1,E,10,A,28.83,27.3119983,272.685185,28.05,100,East,Short,Control,0
3,E,11,A,90.23,27.21599749,216.3043478,34.3,200,East,Double,Control,50
5,W,10,B,16.55,27.09568144,186.0824742,42.7,35,West,Double,Resistance,0
4,E,10,A,10.58,26.99584221,185.0364964,38.5,45,East,Short,Recovery,0
5,W,13,A,18.45,26.85518715,193.7728938,37.6,55,West,Double,Resistance,0
5,E,6,C,9.02,26.72488471,155.1094891,43.4,60,East,Short,Recovery,0
3,W,11,A,NA,26.67848487,192.5566343,39.75,120,West,Double,Recovery,10
3,W,8,A,42.14,26.67488889,173.2758621,54.75,NA,West,Double,Resistance,20
1,W,14,B,6.31,26.61631,202.020202,36.05,35,West,Long,Resistance,0
6,W,2,A,63.54,26.60002518,177.5223499,56.75,90,West,Double,Recovery,12
1,W,8,A,36.97,26.53934146,188.5057471,36.2,80,West,Long,Resistance,0
2,E,4,A,86.14,26.53744344,139.0936882,29.2,140,East,Long,Control,16
3,E,13,A,53.57,26.46718568,207.1362373,31.55,320,East,Double,Control,12
6,E,5,B,7.31,26.37738144,206.3829787,53.3,50,East,Long,Recovery,5
6,E,11,C,13.41,26.35367841,215.1658768,38.35,40,East,Long,Resistance,0
1,W,7,B,6.41,26.30266374,255.988024,39.8,140,West,Long,Recovery,0
5,W,2,A,66.64,26.272425,219.6078431,49.15,90,West,Double,Recovery,20
3,E,3,B,91.1,26.04526923,160.0547196,24.05,140,East,Double,Control,38
6,E,5,C,6.98,25.94693897,203.8277512,54.1,150,East,Long,Recovery,0
5,E,12,C,1.21,25.63,165.57,47.1,60,East,Short,Resistance,0
1,E,6,A,17.71,25.50637432,185.5704698,41.05,100,East,Short,Control,0
3,W,1,C,72.94,25.50055949,182.0276498,44.45,130,West,Double,Recovery,0
3,E,4,A,83.34,25.35358554,168.2887267,42.05,170,East,Double,Control,6
6,E,10,A,5.97,25.33751589,189.0459364,47.55,110,East,Long,Recovery,0
3,E,15,A,47.18,25.32131313,160.9756098,39.7,90,East,Double,Control,6
6,E,11,B,1.83,25.04774869,203.1914894,NA,30,East,Long,Resistance,0
3,W,4,A,83.45,24.92308056,225,39.25,80,West,Double,Recovery,50
3,W,6,C,NA,24.90239167,219.7802198,41.05,110,West,Double,Recovery,14
3,W,10,C,12.89,24.84680043,184.5544554,52.45,NA,West,Double,Resistance,0
2,E,2,A,38.29,24.55275822,135.693053,26.7,110,East,Long,Control,3
2,E,5,A,56.03,24.50625785,156.6011236,23.65,70,East,Long,Control,10
1,E,13,A,NA,24.35919743,183.1024931,30.85,55,East,Short,Control,0
1,W,9,A,13.63,24.31666425,201.9512195,37.75,90,West,Long,Resistance,0
4,W,10,A,8.79,24.29160832,213.803681,50.2,170,West,Long,Resistance,0
3,W,14,A,NA,24.08136567,222.5913621,30.25,70,West,Double,Recovery,50
5,W,6,A,32.94,24.0567217,179.0540541,38.5,90,West,Double,Recovery,0
2,E,6,A,46.37,23.81255304,146.2501337,26.3,70,East,Long,Control,6
1,E,16,A,46.12,23.8011204,188.0503145,28.95,40,East,Short,Control,0
1,E,16,A,30.18,23.8011204,188.0503145,28.95,40,East,Short,Control,0
6,E,9,A,2.28,23.66513913,230,27.5,40,East,Long,Resistance,0
6,W,3,A,25.25,23.62850625,188.6792453,33.05,170,West,Double,Recovery,0
1,W,3,A,5.59,23.60342377,217.5609756,41.85,140,West,Long,Resistance,0
1,E,9,A,68.73,23.5863293,208.7378641,42.45,70,East,Short,Control,0
1,E,8,A,32.72,23.47049315,153.5891089,45.4,50,East,Short,Control,0
6,E,5,A,5.15,23.38148494,172.9411765,44.6,45,East,Long,Recovery,0
1,E,5,C,NA,23.36857676,238.6138614,47.05,60,East,Short,Control,0
5,W,8,B,26.04,23.3011253,170.4312115,33.35,40,West,Double,Recovery,0
6,E,15,C,1.21,23.18064706,108.5106383,NA,10,East,Long,Resistance,0
5,W,15,A,6.58,22.94507531,256.9892473,37.3,40,West,Double,Resistance,0
1,E,3,A,55.29,22.92478221,212.3486683,33.6,140,East,Short,Control,0
3,E,5,C,27.18,22.68071346,252.8183716,31.3,240,East,Double,Control,0
6,W,10,C,2.92,22.67392308,234,38.3,20,West,Double,Resistance,0
3,E,6,A,64.76,22.67031011,163.1128405,33.15,180,East,Double,Control,19
5,W,14,A,7.15,22.60259964,196.819788,41.75,30,West,Double,Resistance,0
2,E,14,A,NA,22.43784749,150.4589161,30.25,100,East,Long,Control,0
2,W,11,C,0.35,22.362,220.13,41.9,50,West,Short,Resistance,0
3,W,16,A,8.39,22.33480889,216.3461538,37.5,NA,West,Double,Resistance,0
4,W,7,B,18.91,22.24172449,181.3135985,41,100,West,Long,Recovery,1
6,W,13,A,72.33,22.15823095,220.4724409,51.2,140,West,Double,Recovery,21
6,W,10,A,6.71,22.15307219,199.4666667,45.8,40,West,Double,Resistance,0
5,W,16,A,5.47,22.0549331,246.9565217,41.1,30,West,Double,Resistance,0
1,E,7,A,35.7,22.05483009,192.6710098,42.8,80,East,Short,Control,0
1,W,11,B,10.49,21.8995463,196.3636364,40.5,30,West,Long,Resistance,0
2,W,4,B,13.1,21.82772434,254.4776119,39.55,70,West,Short,Recovery,0
1,W,2,C,32.39,21.69769535,1882.129278,45.95,100,West,Long,Recovery,0
5,W,12,A,12.29,21.5516486,231.5789474,54.5,70,West,Double,Resistance,0
4,W,2,B,16.13,21.37193422,209.4350125,34.15,55,West,Long,Recovery,0
2,W,6,A,10.2,21.37101292,209.7065463,34.15,40,West,Short,Recovery,0
3,E,2,A,51.83,21.30976219,229.8672185,31.75,520,East,Double,Control,0
1,W,14,C,4.06,21.11714209,219.4117647,38.4,30,West,Long,Resistance,0
1,E,5,A,68.35,21.02902042,214.400922,29.2,70,East,Short,Control,0
4,E,16,C,4.07,21.02,226.67,31.8,40,East,Short,Resistance,0
3,E,1,A,37.9,20.97303655,258.2410067,34.8,590,East,Double,Control,3
3,E,7,A,53.88,20.968573,195.0632911,33.35,70,East,Double,Control,6
4,W,13,A,33.8,20.96627636,208.3333333,27.8,60,West,Long,Resistance,0
3,E,8,A,79.47,20.79534483,231.5882875,41.05,100,East,Double,Control,6
1,E,11,A,62.27,20.76754432,218.8334505,27.75,160,East,Short,Control,0
3,W,7,A,NA,20.69034091,189.4218942,28.55,80,West,Double,Recovery,0
1,W,11,A,7.6,20.67464404,217.1314741,26.9,60,West,Long,Resistance,0
5,W,10,C,7.37,20.65396222,174.4186047,42.4,45,West,Double,Resistance,0
1,E,16,C,32.22,20.6139256,272.8358209,22.45,60,East,Short,Control,0
5,E,13,A,3.67,20.55172222,187.5,36.05,25,East,Short,Recovery,0
3,E,3,A,31.6,20.39606484,173.8012404,25.95,220,East,Double,Control,2
5,E,6,A,7.13,20.3898628,260.3174603,30.55,20,East,Short,Recovery,0
5,E,6,A,7.13,20.3898628,137.2384937,30.55,20,East,Short,Recovery,0
5,W,15,C,15.26,20.29999179,224.4239631,38.3,35,West,Double,Resistance,0
4,W,9,A,34.74,20.25249317,230.2980132,44.3,170,West,Long,Resistance,0
6,W,12,A,8.89,20.23783686,275.8333333,32.75,20,West,Double,Resistance,0
1,E,15,A,36.05,20.18769493,185.9615385,32.15,60,East,Short,Control,0
4,W,4,A,14.12,20.1553705,200.5179935,41.2,50,West,Long,Recovery,0
3,W,1,B,33.32,20.15002018,240.5063291,46.6,190,West,Double,Recovery,3
2,W,6,C,7.54,20.14435326,204.4444444,46.8,25,West,Short,Recovery,0
6,W,7,A,11.71,20.0817364,222.3255814,48.7,40,West,Double,Resistance,0
5,W,1,A,58.11,20.05156547,239.242685,39.6,50,West,Double,Recovery,0
3,W,10,A,6.25,20.03634517,201.7283951,28.65,NA,West,Double,Resistance,0
1,W,6,A,17.43,19.97397746,213.9244972,37.25,70,West,Long,Recovery,0
1,W,4,A,12.9,19.9016,248.4939759,55.2,55,West,Long,Recovery,0
4,E,6,A,9.91,19.78809456,223.7179487,52.45,60,East,Short,Recovery,0
4,E,14,A,13.17,19.67488404,216.9934641,45.75,50,East,Short,Recovery,0
1,E,10,B,51.03,19.66266055,263.002681,33.6,90,East,Short,Control,0
3,W,9,A,25.69,19.5896912,201.4466546,41.7,NA,West,Double,Resistance,0
1,E,4,A,64.95,19.43963322,225.265957,36,110,East,Short,Control,0
2,W,11,A,0.79,19.23,176.34,36.3,25,West,Short,Resistance,0
3,E,14,A,27.31,19.207017,154.4857768,32.45,110,East,Double,Control,0
4,E,5,B,8.66,19.20519769,233.3333333,32.85,50,East,Short,Recovery,0
2,W,4,C,14.04,19.12538595,100.724638,35.7,40,West,Short,Recovery,0
2,W,4,C,14.04,19.12538595,260.0753296,35.7,40,West,Short,Recovery,0
2,W,12,A,23.68,19.1,178.06,43.6,40,West,Short,Resistance,0
3,E,9,B,43.55,19.09185714,151.6089109,24.1,80,East,Double,Control,2
2,W,5,A,14.98,19.08179648,213.5957066,42.55,70,West,Short,Recovery,0
6,E,15,B,1.9,19.07273947,256.7567568,46.6,35,East,Long,Resistance,0
4,E,1,A,11.35,19.05319186,277.4193548,37,30,East,Short,Recovery,0
4,E,1,A,9.06,19.05319186,277.4193548,37,30,East,Short,Recovery,0
4,E,9,A,15.46,19.02,267.29,40.5,50,East,Short,Resistance,0
6,W,1,A,57.46,18.96478523,215.3179191,39.25,90,West,Double,Recovery,0
1,W,7,C,4.44,18.7143758,214.7742818,43.4,55,West,Long,Recovery,0
6,E,13,A,1.52,18.61781955,244.0366972,24.4,20,East,Long,Resistance,0
6,W,15,A,NA,18.55373469,227.027027,36.45,35,West,Double,Resistance,0
4,W,3,A,16.98,18.49478294,200.2549395,38.7,70,West,Long,Recovery,0
2,W,15,A,9.36,18.4,233.56,41.2,60,West,Short,Resistance,0
2,W,3,A,14,18.29405386,221.9446922,44.55,80,West,Short,Recovery,0
3,W,10,B,17.16,18.21551345,262.3529412,41.9,NA,West,Double,Resistance,0
3,W,1,A,59.75,18.14328735,199.8368679,41.7,170,West,Double,Recovery,0
1,E,12,C,28.53,18.08874299,295.375723,24.9,60,East,Short,Control,0
3,W,6,A,NA,18.05318584,233.4710744,35.15,200,West,Double,Recovery,2
4,E,16,B,12.21,18.03,204.06,37.4,45,East,Short,Resistance,0
6,W,8,A,31.27,17.94078163,152.6479751,47.2,50,West,Double,Recovery,0
4,W,12,C,5.23,17.92025051,188.1226054,47.5,25,West,Long,Resistance,0
4,W,14,A,5.59,17.73190215,268.9473684,30.7,30,West,Long,Resistance,0
6,W,11,A,8.99,17.57168421,204.3010753,50.6,55,West,Double,Resistance,0
6,E,15,A,4.7,17.49095484,233.0827068,45.3,35,East,Long,Resistance,0
1,W,10,A,26.33,17.3543514,212.505623,42.15,120,West,Long,Recovery,0
1,E,16,B,41.61,17.26830472,263.681592,35.3,30,East,Short,Control,0
2,W,6,B,16.12,17.23396,264.3171806,42,60,West,Short,Recovery,0
2,E,9,A,11.03,17.1493823,209.7121334,21.35,60,East,Long,Control,0
1,E,12,B,34.38,17.08008208,294.08867,35.35,50,East,Short,Control,0
1,E,14,A,46.55,17.04762612,225.091575,42.85,90,East,Short,Control,0
4,W,2,A,NA,16.94520732,NA,NA,NA,West,Long,Resistance,0
1,W,12,A,13.94,16.90050529,252.5222552,31.45,60,West,Long,Resistance,0
4,W,15,A,6.1,16.87750124,239.8809524,28.6,25,West,Long,Resistance,0
6,W,14,B,26.46,16.85507378,210.4770814,32.9,90,West,Double,Recovery,0
2,W,16,B,15.57,16.61,269.8,41.6,70,West,Short,Resistance,0
4,E,11,A,7.06,16.58,226.11,32.7,40,East,Short,Resistance,0
1,E,5,B,41.41,16.57538059,241.48398,29.5,40,East,Short,Control,0
4,E,16,A,4.83,16.47,254.29,34.5,50,East,Short,Resistance,0
5,E,7,A,8,16.32333932,274.3842365,34.8,40,East,Short,Recovery,0
1,E,12,A,33.29,16.3220829,231.9711538,30.4,70,East,Short,Control,0
4,E,7,A,8.44,16.03671806,230.0319489,45.25,45,East,Short,Recovery,0
6,E,2,A,6.65,15.98711143,226.557377,41.75,25,East,Long,Recovery,0
2,W,9,A,26.22,15.97764058,302.4154589,43.1,50,West,Short,Recovery,0
1,E,10,C,26.86,15.96845121,257.655955,28.1,40,East,Short,Control,0
1,W,7,A,17.91,15.68874896,263.0775937,39.45,40,West,Long,Recovery,0
4,E,8,A,0.39,15.59,331.91,NA,15,East,Short,Resistance,0
2,W,14,A,4.24,15.43,320.13,40.6,50,West,Short,Resistance,0
6,E,16,A,4.07,15.35171812,253.9772727,37.8,30,East,Long,Resistance,0
6,E,6,A,11.05,15.33878768,208.9812332,54.1,70,East,Long,Recovery,0
6,E,14,A,2.34,15.25345363,308.0745342,38.75,15,East,Long,Resistance,0
1,E,2,A,34.78,15.17253538,252.4459613,37.85,180,East,Short,Control,0
3,W,3,A,3.24,15.04481695,249.4714588,39.45,60,West,Double,Recovery,5
5,E,12,B,8.05,14.97,334.04,35.2,40,East,Short,Resistance,0
4,W,16,A,8.7,14.91766925,284.5588235,31.85,35,West,Long,Resistance,0
4,E,4,A,5.54,14.38,317.61,36.5,35,East,Short,Resistance,0
5,E,2,A,4.31,14.21,264.13,NA,NA,East,Short,Resistance,0
2,W,16,A,16.93,13.8,303.79,37,70,West,Short,Resistance,0
2,W,8,A,4.96,13.61,252.56,40.5,45,West,Short,Resistance,0
3,W,15,A,18.45,13.49021033,255.3054662,39.2,NA,West,Double,Resistance,0
6,E,12,A,3,13.42192174,280.4878049,19.2,20,East,Long,Resistance,0
2,W,7,A,16.24,13.24,357.63,36.1,7,West,Short,Resistance,0
5,E,4,A,5.89,13.04,405.56,41.6,45,East,Short,Resistance,0
4,E,12,A,2.67,12.84,325.77,42.7,40,East,Short,Resistance,0
1,W,16,A,NA,12.59258402,286.7272727,30.7,55,West,Long,Resistance,0
4,E,16,B,12.23,12.24,300.51,37.4,45,East,Short,Resistance,0
5,E,9,A,2.39,10.95,417.19,35.5,30,East,Short,Resistance,0
5,E,14,A,1.88,10.36,369.38,34.2,35,East,Short,Resistance,0
4,W,2,A,8.81,4.518721951,198.9647363,33.15,90,West,Long,Recovery,0
6,E,7,A,4.19,2.354781617,2067.142857,48.55,35,East,Long,Recovery,0
