Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,Iso_g_raw,log_mixAGB,log_isoAGB,CompEffect,AGB_g,BGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,SeedHead,PhaseNum,Control_CompEffect,RelCompEffect,RelCompEffect_pos,RelCompEffect_0to1,CompEffect_diff
2,West,6,A,Short,Recovery,Mix,Fes,FesMix,10.2,45.37,13.881667,1.008600172,1.142441622,0.13384145,10.2,45.37,21.37101292,249.7065463,34.15,40,0,1,0.06491341,2.061845927,8.706460715,0.784215803,0.06892804
1,West,11,C,Long,Resistance,Mix,Pha,PhaMix,3.86,12.22,5.37,0.586587305,0.729974286,0.143386981,3.86,12.22,32.15883444,231.1392405,NA,15,0,0,0.53829201,0.266373972,6.91098876,0.622492512,-0.394905029
6,West,14,A,Double,Recovery,Mix,Rye,RyeMix,39.98,92.5,55.83,1.60184279,1.746867628,0.145024838,39.98,92.5,26.5948652,182.6923077,49.15,70,0,1,0.28484924,0.509128401,7.153743189,0.644358097,-0.139824402
1,West,2,A,Long,Recovery,Mix,Rye,RyeMix,10.37,38.86,14.66,1.015778756,1.16613397,0.150355214,10.37,38.86,28.91534555,186.0691671,46.85,70,0,1,0.45912076,0.327485113,6.972099901,0.627996967,-0.308765546
6,West,14,C,Double,Recovery,Mix,Fes,FesMix,33.28,92.5,47.821667,1.522183318,1.679624711,0.157441393,33.28,92.5,20.84675849,185.9649123,43.85,130,2,1,0.24852662,0.633499112,7.2781139,0.655560523,-0.091085227
3,West,6,C,Double,Recovery,Mix,Rye,RyeMix,38.1,112.93,55.83,1.580924976,1.746867628,0.165942652,38.1,112.93,26.82520695,180.8180783,34.6,60,0,1,0.28484924,0.582563085,7.227177873,0.650972569,-0.118906588
5,West,4,C,Double,Recovery,Mix,Rye,RyeMix,37.72,137.12,55.83,1.576571684,1.746867628,0.170295944,37.72,137.12,28.01720333,180.4545455,42.4,60,0,1,0.28484924,0.597845878,7.242460666,0.652349134,-0.114553296
5,West,8,C,Double,Recovery,Mix,Rye,RyeMix,37.24,144.86,55.83,1.571009672,1.746867628,0.175857956,37.24,144.86,27.54606957,185.483871,52.8,80,0,1,0.28484924,0.617372039,7.261986827,0.654107911,-0.108991284
4,East,1,A,Short,Recovery,Mix,Fes,FesMix,9.06,31.65,13.881667,0.957128198,1.142441622,0.185313424,9.06,31.65,19.05319186,277.4193548,37,30,0,1,0.06491341,2.854778758,9.499393546,0.85563753,0.120400014
4,West,14,B,Long,Resistance,Mix,Pha,PhaMix,3.41,20.44,5.37,0.532754379,0.729974286,0.197219907,3.41,20.44,29.95408409,234.0848048,NA,10,0,0,0.53829201,0.366380892,7.01099568,0.631500421,-0.341072103
4,East,5,B,Short,Recovery,Mix,Fes,FesMix,8.66,32.05,13.881667,0.937517892,1.142441622,0.20492373,8.66,32.05,19.20519769,233.3333333,32.85,50,0,1,0.06491341,3.156878217,9.801493005,0.882848492,0.14001032
4,East,11,C,Short,Resistance,Mix,Pha,PhaMix,3.24,17.2832,5.207143,0.51054501,0.716599505,0.206054495,3.24,17.2832,36.25,155.21,25.9,45,0,0,0.31125801,0.662005437,7.306620225,0.658128169,-0.105203515
2,West,16,C,Short,Resistance,Mix,Pha,PhaMix,3.16,11.6032,5.207143,0.499687083,0.716599505,0.216912422,3.16,11.6032,32.87,184.65,NA,NA,0,0,0.31125801,0.696889446,7.341504234,0.661270271,-0.094345588
4,East,1,B,Short,Recovery,Mix,Rye,RyeMix,16.57,31.65,27.537802,1.219322508,1.439929273,0.220606765,16.57,31.65,33.25411737,245.1785714,49.15,55,0,1,0.19165497,1.151062062,7.79567685,0.702178897,0.028951795
4,West,12,B,Long,Resistance,Mix,Pha,PhaMix,3.22,11.56,5.37,0.507855872,0.729974286,0.222118414,3.22,11.56,30.18508696,245.63,NA,20,0,0,0.53829201,0.41263554,7.057250328,0.63566671,-0.316173596
3,West,1,B,Double,Recovery,Mix,Pha,PhaMix,33.32,102.91,56.148333,1.522704993,1.749336867,0.226631874,33.32,102.91,30.15002018,220.5063291,46.6,190,3,1,0.31227201,0.725751482,7.37036627,0.663869957,-0.085640136
2,West,6,B,Short,Recovery,Mix,Rye,RyeMix,16.12,45.37,27.537802,1.207365037,1.439929273,0.232564236,16.12,45.37,27.23396,264.3171806,42,60,0,1,0.19165497,1.213452675,7.858067463,0.707798598,0.040909266
1,West,14,A,Long,Resistance,Mix,Pha,PhaMix,3.12,15.56,5.37,0.494154594,0.729974286,0.235819692,3.12,15.56,27.53630323,222.4880383,45.1,110,0,0,0.53829201,0.438088784,7.082703572,0.637959356,-0.302472318
5,West,4,B,Double,Recovery,Mix,Fes,FesMix,27.5,137.12,47.821667,1.439332694,1.679624711,0.240292017,27.5,137.12,22.81352787,175.2549889,39.4,40,0,1,0.24852662,0.966866314,7.611481102,0.68558786,-0.008234603
5,West,8,A,Double,Recovery,Mix,Pha,PhaMix,31.27,144.86,56.148333,1.495127881,1.749336867,0.254208986,31.27,144.86,28.35468701,218.3622351,34.75,90,0,1,0.31227201,0.814062669,7.458677457,0.671824398,-0.058063024
5,West,8,B,Double,Recovery,Mix,Fes,FesMix,26.04,144.86,47.821667,1.41564098,1.679624711,0.263983731,26.04,144.86,23.3011253,180.4312115,33.35,40,0,1,0.24852662,1.062194991,7.706809779,0.694174386,0.015457111
6,East,15,B,Long,Resistance,Mix,Pha,PhaMix,2.9,13.15,5.37,0.462397998,0.729974286,0.267576288,2.9,13.15,29.07273947,256.7567568,46.6,35,0,0,0.53829201,0.497083893,7.141698681,0.643273214,-0.270715722
3,West,6,B,Double,Recovery,Mix,Pha,PhaMix,29.94,112.93,56.148333,1.476251796,1.749336867,0.273085071,29.94,112.93,29.6148,209.491819,40.7,130,0,1,0.31227201,0.874510242,7.51912503,0.677269084,-0.039186939
6,West,3,A,Double,Recovery,Mix,Fes,FesMix,25.25,137.55,47.821667,1.402261382,1.679624711,0.277363329,25.25,137.55,23.62850625,188.6792453,33.05,170,0,1,0.24852662,1.116030665,7.760645453,0.699023519,0.028836709
5,East,6,A,Short,Recovery,Mix,Fes,FesMix,7.13,29.34,13.881667,0.85308953,1.142441622,0.289352092,7.13,29.34,20.3898628,237.2384937,30.55,20,0,1,0.06491341,4.457508734,11.10212352,1,0.224438682
6,West,3,B,Double,Recovery,Mix,Pha,PhaMix,27.06,137.55,56.148333,1.432327792,1.749336867,0.317009075,27.06,137.55,28.08111905,206.2616822,43.8,140,0,1,0.31227201,1.015169675,7.659784463,0.689938681,0.004737065
2,West,4,B,Short,Recovery,Mix,Rye,RyeMix,13.1,36.21,27.537802,1.117271296,1.439929273,0.322657977,13.1,36.21,31.82772434,254.4776119,39.55,70,0,1,0.19165497,1.683535663,8.328150451,0.750140316,0.131003007
1,West,14,B,Long,Resistance,Mix,Rye,RyeMix,6.31,15.56,13.335,0.800029359,1.12499302,0.324963661,6.31,15.56,26.61631,202.020202,36.05,35,0,0,0.45912076,0.707795616,7.352410404,0.662252621,-0.134157099
6,West,14,B,Double,Recovery,Mix,Pha,PhaMix,26.46,92.5,56.148333,1.42258984,1.749336867,0.326747027,26.46,92.5,26.85507378,210.4770814,32.9,90,0,1,0.31227201,1.046353873,7.690968661,0.692747531,0.014475017
4,East,5,C,Short,Recovery,Mix,Rye,RyeMix,12.81,34.19,27.537802,1.10754913,1.439929273,0.332380143,12.81,34.19,29.84658862,253.4084,40.8,60,0,1,0.19165497,1.734263103,8.378877891,0.754709482,0.140725173
1,West,11,A,Long,Resistance,Mix,Fes,FesMix,5.6,12.22,12.078333,0.748188027,1.082006999,0.333818972,5.6,12.22,20.67464404,217.1314741,26.9,60,0,0,0.3785015,0.881948875,7.526563663,0.677939103,-0.044682528
4,West,14,A,Long,Resistance,Mix,Fes,FesMix,5.59,20.44,12.078333,0.747411808,1.082006999,0.334595191,5.59,20.44,17.73190215,218.9473684,30.7,30,0,0,0.3785015,0.883999643,7.528614431,0.678123822,-0.043906309
6,East,11,C,Long,Resistance,Mix,Pha,PhaMix,2.41,15.48,5.37,0.382017043,0.729974286,0.347957243,2.41,15.48,26.35367841,215.1658768,38.35,40,0,0,0.53829201,0.646409823,7.291024611,0.656723427,-0.190334767
4,West,12,C,Long,Resistance,Mix,Fes,FesMix,5.23,11.56,12.078333,0.718501689,1.082006999,0.36350531,5.23,11.56,17.92025051,228.1226054,47.5,25,0,0,0.3785015,0.960380104,7.604994892,0.685003628,-0.01499619
5,East,10,A,Short,Recovery,Mix,Rye,RyeMix,11.91,32.49,27.537802,1.075911761,1.439929273,0.364017512,11.91,32.49,29.13660395,249.084084,41.8,70,0,1,0.19165497,1.899337711,8.543952499,0.769578224,0.172362542
3,West,16,A,Double,Resistance,Mix,Fes,FesMix,8.39,29.17,21.573333,0.923761961,1.333917247,0.410155286,8.39,29.17,22.33480889,216.3461538,37.5,20,0,0,0.24852662,1.6503475,8.294962288,0.747150964,0.161628666
6,East,11,A,Long,Resistance,Mix,Rye,RyeMix,5.15,15.48,13.335,0.711807229,1.12499302,0.413185791,5.15,15.48,31.97541667,199.0825688,NA,20,0,0,0.45912076,0.899950137,7.544564925,0.679560528,-0.045934969
4,West,12,A,Long,Resistance,Mix,Rye,RyeMix,4.82,11.56,13.335,0.683047038,1.12499302,0.441945982,4.82,11.56,28.38625035,200.08408,NA,40,0,0,0.45912076,0.962592025,7.607206813,0.685202862,-0.017174778
4,West,14,C,Long,Resistance,Mix,Rye,RyeMix,4.81,20.44,13.335,0.682145076,1.12499302,0.442847944,4.81,20.44,28.67900062,199.08948,NA,30,0,0,0.45912076,0.964556567,7.609171355,0.685379814,-0.016272816
6,East,15,A,Long,Resistance,Mix,Rye,RyeMix,4.7,13.15,13.335,0.672097858,1.12499302,0.452895162,4.7,13.15,27.49095484,203.0827068,45.3,35,0,0,0.45912076,0.986440173,7.631054961,0.687350933,-0.006225598
5,West,10,C,Double,Resistance,Mix,Fes,FesMix,7.37,28.25,21.573333,0.867467488,1.333917247,0.466449759,7.37,28.25,20.65396222,174.4186047,42.4,45,0,0,0.24852662,1.87686035,8.521475138,0.767553624,0.217923139
1,West,11,B,Long,Resistance,Mix,Rye,RyeMix,4.49,12.22,13.335,0.652246341,1.12499302,0.472746679,4.49,12.22,28.8995463,196.3636364,40.5,30,0,0,0.45912076,1.02967829,7.674293078,0.691245514,0.013625919
1,West,14,C,Long,Resistance,Mix,Fes,FesMix,4.06,15.56,12.078333,0.608526034,1.082006999,0.473480965,4.06,15.56,21.11714209,219.4117647,38.4,30,0,0,0.3785015,1.250935505,7.895550293,0.711174784,0.094979465
6,West,10,A,Double,Resistance,Mix,Fes,FesMix,7.09,30.71,21.573333,0.850646235,1.333917247,0.483271012,7.09,30.71,21.52008974,190.0142387,36.4,30,0,0,0.24852662,1.944544258,8.589159046,0.773650107,0.234744392
5,East,6,C,Short,Recovery,Mix,Rye,RyeMix,9.02,29.34,27.537802,0.955206538,1.439929273,0.484722735,9.02,29.34,26.72488471,255.1094891,43.4,60,0,1,0.19165497,2.529142526,9.173757314,0.826306544,0.293067765
6,East,11,B,Long,Resistance,Mix,Fes,FesMix,3.83,15.48,12.078333,0.583198774,1.082006999,0.498808225,3.83,15.48,25.04774869,203.1914894,NA,30,0,0,0.3785015,1.317850061,7.962464849,0.717201969,0.120306725
5,West,15,B,Double,Resistance,Mix,Fes,FesMix,6.8,26.93,21.573333,0.832508913,1.333917247,0.501408334,6.8,26.93,21.50424388,190.5839227,36.1,15,0,0,0.24852662,2.017523652,8.66213844,0.780223569,0.252881714
3,West,10,A,Double,Resistance,Mix,Fes,FesMix,6.25,33.72,21.573333,0.795880017,1.333917247,0.53803723,6.25,33.72,20.03634517,201.7283951,28.65,20,0,0,0.24852662,2.164907848,8.809522636,0.793498885,0.28951061
3,West,10,C,Double,Resistance,Mix,Pha,PhaMix,6.89,33.72,24.03,0.838219222,1.380753771,0.542534549,6.89,33.72,24.84680043,204.5544554,42.5,50,0,0,0.31227201,1.737378092,8.38199288,0.754990058,0.230262539
5,West,10,A,Double,Resistance,Mix,Pha,PhaMix,6.85,28.25,24.03,0.835690571,1.380753771,0.5450632,6.85,28.25,23.68925574,200.3067485,41,60,0,0,0.31227201,1.745475683,8.390090471,0.755719431,0.23279119
1,West,2,B,Long,Recovery,Mix,Pha,PhaMix,6.98,38.86,24.565,0.843855423,1.390316768,0.546461345,6.98,38.86,28.78502733,226.7561983,46.45,260,0,1,0.53829201,1.0151764,7.659791188,0.689939287,0.008169335
6,East,5,C,Long,Recovery,Mix,Pha,PhaMix,6.98,43.29,24.565,0.843855423,1.390316768,0.546461345,6.98,43.29,25.94693897,203.8277512,54.1,150,0,1,0.53829201,1.0151764,7.659791188,0.689939287,0.008169335
5,West,15,A,Double,Resistance,Mix,Pha,PhaMix,6.58,26.93,24.03,0.818225894,1.380753771,0.562527877,6.58,26.93,22.94507531,256.9892473,37.3,40,0,0,0.31227201,1.801403453,8.446018241,0.760757005,0.250255867
4,West,2,A,Long,Recovery,Mix,Pha,PhaMix,6.54,50.86,24.565,0.815577748,1.390316768,0.57473902,6.54,50.86,26.94520732,229.73,40.8,90,0,1,0.53829201,1.067708622,7.71232341,0.694671014,0.03644701
6,East,15,C,Long,Resistance,Mix,Fes,FesMix,3.21,13.15,12.078333,0.506505032,1.082006999,0.575501967,3.21,13.15,23.18064706,208.5106383,NA,10,0,0,0.3785015,1.520474733,8.165089521,0.735452952,0.197000467
1,West,7,B,Long,Recovery,Mix,Pha,PhaMix,6.41,32.88,24.565,0.80685803,1.390316768,0.583458738,6.41,32.88,26.30266374,235.988024,39.8,140,0,1,0.53829201,1.083907484,7.728522272,0.696130092,0.045166728
6,West,5,A,Double,Resistance,Mix,Pha,PhaMix,5.87,29.2,24.03,0.768638101,1.380753771,0.61211567,5.87,29.2,24.70725882,230.2681992,38.8,30,0,0,0.31227201,1.960200243,8.604815031,0.775060286,0.29984366
4,East,1,C,Short,Recovery,Mix,Pha,PhaMix,7.9,40.78,32.6,0.897627091,1.5132176,0.615590509,7.9,40.78,28.15861952,202.3781042,35.9,30,0,1,0.31125801,1.977749935,8.622364723,0.776641037,0.304332499
6,West,5,B,Double,Resistance,Mix,Fes,FesMix,5.07,29.2,21.573333,0.705007959,1.333917247,0.628909288,5.07,29.2,21.89541096,172.2772277,37.8,20,0,0,0.24852662,2.530551005,9.175165793,0.826433409,0.380382668
6,West,10,C,Double,Resistance,Mix,Pha,PhaMix,5.64,30.71,24.03,0.751279104,1.380753771,0.629474667,5.64,30.71,23.45308885,212.4651129,43.8,40,0,0,0.31227201,2.01578959,8.660404378,0.780067377,0.317202657
2,West,6,C,Short,Recovery,Mix,Pha,PhaMix,7.54,45.37,32.6,0.877371346,1.5132176,0.635846254,7.54,45.37,27.14435326,200.4444444,46.8,25,0,1,0.31125801,2.042826959,8.687441747,0.78250271,0.324588244
4,West,7,A,Long,Recovery,Mix,Pha,PhaMix,5.68,39.42,24.565,0.754348336,1.390316768,0.635968432,5.68,39.42,29.8736,208.3333333,37.05,80,0,1,0.53829201,1.181456199,7.826070987,0.704916584,0.097676422
3,West,16,B,Double,Resistance,Mix,Pha,PhaMix,5.35,29.17,24.03,0.728353782,1.380753771,0.652399989,5.35,29.17,23.07162543,212.4087591,32.4,50,0,0,0.31227201,2.089204181,8.733818969,0.786680039,0.340127979
5,East,6,B,Short,Recovery,Mix,Pha,PhaMix,7.2,29.34,32.6,0.857332496,1.5132176,0.655885104,7.2,29.34,28.94393994,216.0335196,35.65,40,0,1,0.31125801,2.107207149,8.751821937,0.788301618,0.344627094
4,East,5,A,Short,Recovery,Mix,Pha,PhaMix,6.87,32.05,32.6,0.836956737,1.5132176,0.676260863,6.87,32.05,27.863249,204.0983607,31.7,30,0,1,0.31125801,2.172669751,8.817284539,0.794198022,0.365002853
6,East,1,C,Long,Recovery,Mix,Pha,PhaMix,4.99,32.56,24.565,0.698100546,1.390316768,0.692216222,4.99,32.56,29.4396,203.7037037,28.7,20,0,1,0.53829201,1.285949279,7.930564067,0.714328574,0.153924212
2,West,4,A,Short,Recovery,Mix,Pha,PhaMix,6.4,38.31,32.6,0.806179974,1.5132176,0.707037626,6.4,38.31,29.34506772,206.3767272,30.8,50,0,1,0.31125801,2.271548372,8.91616316,0.803104302,0.395779616
5,East,10,C,Short,Recovery,Mix,Pha,PhaMix,5.64,36.1,32.6,0.751279104,1.5132176,0.761938496,5.64,36.1,29.99961161,220.8986572,39.7,40,0,1,0.31125801,2.44793217,9.092546958,0.818991695,0.450680486
