Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,RS_ratio,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_cm,SeedHead,PhaseNum
4,West,12,C,Long,Resistance,Mix,Fes,FesMix,5.23,11.56,NA,17.92025051,228.1226054,47.5,25,0,0
4,West,13,A,Long,Resistance,Rye,Rye,RyeRye,13.8,29.71,2.152898551,24.96627636,208.3333333,27.8,60,0,0
4,West,14,A,Long,Resistance,Mix,Fes,FesMix,5.59,20.44,NA,17.73190215,218.9473684,30.7,30,0,0
4,West,14,B,Long,Resistance,Mix,Pha,PhaMix,3.41,20.44,NA,29.95408409,234.0848048,NA,50,0,0
4,West,14,C,Long,Resistance,Mix,Rye,RyeMix,4.81,20.44,NA,28.67900062,199.08948,NA,30,0,0
4,West,15,A,Long,Resistance,Fes,Fes,FesFes,10.1,7.04,0.697029703,16.87750124,249.8809524,28.6,25,0,0
4,West,16,A,Long,Resistance,Fes,Fes,FesFes,11.7,8.69,0.742735043,14.91766925,284.5588235,31.85,35,0,0
5,East,1,A,Short,Recovery,Pha,Pha,PhaPha,36.19,21.3,0.588560376,28.51156836,186.1818182,43.75,70,0,1
5,East,2,A,Short,Recovery,Fes,Fes,FesFes,14.31,18.18,1.270440252,19.05810106,264.13,45.7,75,0,1
5,East,3,A,Short,Resistance,Rye,Rye,RyeRye,13.53,8.2062,0.606518847,31.55798233,154.2647664,38.3,50,0,0
5,East,4,A,Short,Resistance,Rye,Rye,RyeRye,10.89,6.2912,0.577704316,23.45265018,205.0621193,41.6,45,0,0
5,East,5,A,Short,Recovery,Fes,Fes,FesFes,15.9,23.74,1.493081761,17.14669957,245.2954093,44.4,70,0,1
5,East,6,A,Short,Recovery,Mix,Fes,FesMix,7.13,29.34,NA,20.3898628,237.2384937,30.55,60,0,1
5,East,6,B,Short,Recovery,Mix,Pha,PhaMix,7.2,29.34,NA,28.94393994,216.0335196,35.65,60,0,1
5,East,6,C,Short,Recovery,Mix,Rye,RyeMix,9.02,29.34,NA,26.72488471,255.1094891,43.4,75,0,1
5,East,7,A,Short,Recovery,Pha,Pha,PhaPha,28,25.23,0.901071429,26.32333932,224.3842365,34.8,65,0,1
5,East,8,A,Short,Resistance,Rye,Rye,RyeRye,11.2,6.2542,0.558410714,26.5239117,180.7943288,44.7,40,0,0
5,East,9,A,Short,Resistance,Pha,Pha,PhaPha,4.39,4.9882,1.136264237,12.96095635,317.1973102,35.5,30,0,0
5,East,10,A,Short,Recovery,Mix,Rye,RyeMix,11.91,32.49,NA,29.13660395,249.084084,41.8,85,0,1
5,East,10,B,Short,Recovery,Mix,Fes,FesMix,10.97,36.4,NA,20.8940806,255.084808,36,60,0,1
5,East,10,C,Short,Recovery,Mix,Pha,PhaMix,5.64,36.1,NA,29.99961161,220.8986572,39.7,55,0,1
5,East,11,A,Short,Resistance,Pha,Pha,PhaPha,6.01,5.503,0.915640599,15.87498518,320.8339875,38.9,30,0,0
5,East,12,A,Short,Resistance,Mix,Fes,FesMix,9.23,25.87,NA,18.28,224.66,32.1,35,0,0
5,East,12,B,Short,Resistance,Mix,Pha,PhaMix,8.05,25.87,NA,28.97,173.04,35.2,40,0,0
5,East,12,C,Short,Resistance,Mix,Rye,RyeMix,10.21,25.87,NA,25.63,295.57,47.1,60,0,0
5,East,13,A,Short,Resistance,Fes,Fes,FesFes,3.55,4.53,1.276056338,14.88335932,286.8062359,38.4,40,0,0
5,East,14,A,Short,Resistance,Fes,Fes,FesFes,2.88,3.1962,1.109791667,14.72566735,269.8220894,34.2,35,0,0
5,East,15,A,Short,Resistance,Mix,Pha,PhaMix,5.84,20.99,NA,28.090119,206.5619339,42.3,30,0,0
5,East,15,B,Short,Resistance,Mix,Rye,RyeMix,8.93,20.99,NA,24.91,301.19,45.17,60,0,0
5,East,15,C,Short,Resistance,Mix,Fes,FesMix,8.73,20.99,NA,17.92,243.94084,30.9,50,0,0
5,East,16,A,Short,Recovery,Rye,Rye,RyeRye,26.25819302,32.13,1.443513405,18.71244385,289.9439746,4.97,65,0,1
5,West,1,A,Double,Recovery,Fes,Fes,FesFes,58.11,68.18,1.173292032,20.05156547,239.242685,39.6,75,0,1
5,West,2,A,Double,Recovery,Rye,Rye,RyeRye,66.64,62.93,0.944327731,26.272425,219.6078431,49.15,90,20,1
5,West,3,A,Double,Recovery,Rye,Rye,RyeRye,55.51,66.16,1.191857323,29.74266667,195.6521739,43.75,100,0,1
5,West,4,A,Double,Recovery,Mix,Pha,PhaMix,41.98,137.12,NA,30.08654,216.4744646,41.65,120,2,1
5,West,4,B,Double,Recovery,Mix,Fes,FesMix,27.5,137.12,NA,22.81352787,175.2549889,39.4,65,0,1
