Date,Period,Shelter,Side,Rep,Type,sREP,Species,Height_mm.raw,LeafWidth_mm.raw,LeafLength_mm.raw,SPAD1.raw,SPAD2.raw,Tillers.raw,Height_mm,LeafWidth_mm,LeafLength_mm,SPAD1,SPAD2,SPAD_mean,Tillers
25/05/2018,Pre,1,West,15,S,a,Pha,20,5.9,65,29.3,29.2,NA,20,5.9,65,29.3,29.2,29.25,NA
25/05/2018,Pre,1,West,16,S,a,Fes,20,5.9,155,31.2,31.5,NA,20,5.9,155,31.2,31.5,31.35,NA
25/05/2018,Pre,2,East,1,S,a,Rye,20,3,120,34.1,36.4,NA,20,3,120,34.1,36.4,35.25,NA
25/05/2018,Pre,2,East,2,S,a,Fes,15,2.1,85,TS,NA,NA,15,2.1,85,NA,NA,NA,NA
25/05/2018,Pre,2,East,3,M,a,Fes,30,5.8,170,37.5,33.8,NA,30,5.8,170,37.5,33.8,35.65,NA
25/05/2018,Pre,2,East,3,M,b,Rye,45,2.5,175,42.5,30,NA,45,2.5,175,42.5,30,36.25,NA
25/05/2018,Pre,2,East,3,M,c,Pha,15,4.6,75,38.3,39,NA,15,4.6,75,38.3,39,38.65,NA
25/05/2018,Pre,2,East,4,S,a,Fes,50,6.6,225,41.4,41.5,NA,50,6.6,225,41.4,41.5,41.45,NA
25/05/2018,Pre,2,East,5,S,a,Fes,30,6.2,180,40.3,38.7,NA,30,6.2,180,40.3,38.7,39.5,NA
25/05/2018,Pre,2,East,6,S,a,Fes,20,1.8,70,TS,NA,NA,20,1.8,70,NA,NA,NA,NA
25/05/2018,Pre,2,East,7,S,a,Rye,10,2.2,80,TS,NA,NA,10,2.2,80,NA,NA,NA,NA
25/05/2018,Pre,2,East,8,M,a,Pha,35,10.4,175,30,36.9,NA,35,10.4,175,30,36.9,33.45,NA
25/05/2018,Pre,2,East,8,M,b,Rye,20,2.9,140,39.8,28.4,NA,20,2.9,140,39.8,28.4,34.1,NA
25/05/2018,Pre,2,East,8,M,c,Fes,30,69,130,39.9,35.7,NA,30,69,130,39.9,35.7,37.8,NA
25/05/2018,Pre,2,East,9,M,a,Fes,30,4.6,145,40.5,39.2,NA,30,4.6,145,40.5,39.2,39.85,NA
25/05/2018,Pre,2,East,9,M,b,Rye,25,3.1,100,31.3,TS,NA,25,3.1,100,31.3,NA,31.3,NA
25/05/2018,Pre,2,East,9,M,c,Pha,25,7,140,28.7,25.2,NA,25,7,140,28.7,25.2,26.95,NA
25/05/2018,Pre,2,East,10,S,a,Rye,35,3.7,150,41.9,37.5,NA,35,3.7,150,41.9,37.5,39.7,NA
25/05/2018,Pre,2,East,11,S,a,Pha,25,6.2,120,29.9,38.3,NA,25,6.2,120,29.9,38.3,34.1,NA
25/05/2018,Pre,2,East,12,S,a,Pha,5,2.9,30,TS,NA,NA,5,2.9,30,NA,NA,NA,NA
25/05/2018,Pre,2,East,13,S,a,Rye,25,5,170,37.7,38.4,NA,25,5,170,37.7,38.4,38.05,NA
25/05/2018,Pre,2,East,14,M,a,Pha,5,dead,50,dead,NA,NA,5,NA,50,NA,NA,NA,NA
25/05/2018,Pre,2,East,14,M,b,Rye,25,3.3,150,40.4,TS,NA,25,3.3,150,40.4,NA,40.4,NA
25/05/2018,Pre,2,East,14,M,c,Fes,20,5.1,100,41.6,35.2,NA,20,5.1,100,41.6,35.2,38.4,NA
25/05/2018,Pre,2,East,15,S,a,Rye,20,2.4,90,TS,NA,NA,20,2.4,90,NA,NA,NA,NA
25/05/2018,Pre,2,East,16,S,a,Pha,20,5.9,80,27.9,27.4,NA,20,5.9,80,27.9,27.4,27.65,NA
25/05/2018,Pre,2,West,1,S,a,Pha,15,5.4,60,43.2,39.8,NA,15,5.4,60,43.2,39.8,41.5,NA
25/05/2018,Pre,2,West,2,S,a,Fes,20,0.8,70,TS,NA,NA,20,0.8,70,NA,NA,NA,NA
25/05/2018,Pre,2,West,3,S,a,Fes,25,4.9,180,41.1,44.2,NA,25,4.9,180,41.1,44.2,42.65,NA
25/05/2018,Pre,2,West,4,M,a,Pha,45,9,235,33.8,31.5,NA,45,9,235,33.8,31.5,32.65,NA
25/05/2018,Pre,2,West,4,M,b,Rye,40,4.5,225,32.9,34.3,NA,40,4.5,225,32.9,34.3,33.6,NA
25/05/2018,Pre,2,West,4,M,c,Fes,40,4.7,220,40.6,29.1,NA,40,4.7,220,40.6,29.1,34.85,NA
25/05/2018,Pre,2,West,5,S,a,Fes,35,5.5,170,40.1,39.3,NA,35,5.5,170,40.1,39.3,39.7,NA
25/05/2018,Pre,2,West,6,M,a,Fes,30,4.3,150,33.2,40.1,NA,30,4.3,150,33.2,40.1,36.65,NA
25/05/2018,Pre,2,West,6,M,b,Rye,40,3.7,170,42.2,42.2,NA,40,3.7,170,42.2,42.2,42.2,NA
25/05/2018,Pre,2,West,6,M,c,Pha,20,6.7,80,28.9,37.9,NA,20,6.7,80,28.9,37.9,33.4,NA
25/05/2018,Pre,2,West,7,S,a,Pha,30,8.4,160,26.4,35.6,NA,30,8.4,160,26.4,35.6,31,NA
25/05/2018,Pre,2,West,8,S,a,Fes,30,4.7,140,42.6,29.7,NA,30,4.7,140,42.6,29.7,36.15,NA
25/05/2018,Pre,2,West,9,S,a,Rye,40,3.6,150,37,35,NA,40,3.6,150,37,35,36,NA
25/05/2018,Pre,2,West,10,S,a,Rye,30,3.3,170,46,43.5,NA,30,3.3,170,46,43.5,44.75,NA
25/05/2018,Pre,2,West,11,M,a,Fes,20,4.5,120,31.7,34.3,NA,20,4.5,120,31.7,34.3,33,NA
25/05/2018,Pre,2,West,11,M,b,Pha,5,3.2,40,TS,NA,NA,5,3.2,40,NA,NA,NA,NA
25/05/2018,Pre,2,West,11,M,c,Rye,20,2.9,115,28.1,TS,NA,20,2.9,115,28.1,NA,28.1,NA
25/05/2018,Pre,2,West,12,S,a,Rye,55,5.4,220,46.8,47.5,NA,55,5.4,220,46.8,47.5,47.15,NA
25/05/2018,Pre,2,West,13,S,a,Pha,45,9.3,225,35.2,40.5,NA,45,9.3,225,35.2,40.5,37.85,NA
25/05/2018,Pre,2,West,14,S,a,Pha,20,4.5,80,20.5,26.9,NA,20,4.5,80,20.5,26.9,23.7,NA
25/05/2018,Pre,2,West,15,S,a,Rye,30,3.4,130,30.5,39.7,NA,30,3.4,130,30.5,39.7,35.1,NA
25/05/2018,Pre,2,West,16,M,a,Rye,50,4.5,200,50.3,36.9,NA,50,4.5,200,50.3,36.9,43.6,NA
25/05/2018,Pre,2,West,16,M,b,Fes,40,6.3,220,44.6,49.8,NA,40,6.3,220,44.6,49.8,47.2,NA
25/05/2018,Pre,2,West,16,M,c,Pha,30,2.5,75,42,TS,NA,30,2.5,75,42,NA,42,NA
25/05/2018,Pre,3,East,1,S,a,Pha,20,6.7,150,22.6,31.4,NA,20,6.7,150,22.6,31.4,27,NA
25/05/2018,Pre,3,East,2,S,a,Pha,30,7.1,115,24.9,22.1,NA,30,7.1,115,24.9,22.1,23.5,NA
25/05/2018,Pre,3,East,3,M,a,Fes,40,6.4,180,36.5,45.5,NA,40,6.4,180,36.5,45.5,41,NA
25/05/2018,Pre,3,East,3,M,b,Rye,40,5.1,220,35.6,32,NA,40,5.1,220,35.6,32,33.8,NA
25/05/2018,Pre,3,East,3,M,c,Pha,30,7.3,150,33,30.5,NA,30,7.3,150,33,30.5,31.75,NA
25/05/2018,Pre,3,East,4,S,a,Rye,30,2.6,145,31.6,36.7,NA,30,2.6,145,31.6,36.7,34.15,NA
25/05/2018,Pre,3,East,5,M,a,Fes,40,5.8,210,37.9,40.4,NA,40,5.8,210,37.9,40.4,39.15,NA
25/05/2018,Pre,3,East,5,M,b,Rye,20,2.9,105,33.1,36.3,NA,20,2.9,105,33.1,36.3,34.7,NA
