Date,Time,TimeStamp,PlantID,Serial Number,CalNumber,Shelter,Side.s,Side,Rep,sRep,LeafSide,Both,gs_mmol.m2.s,Temp_C,RH_leaf,RH_filter
12/09/2018,15:20:18,12/09/2018 3:20:18PM,4E 10 AB,LPS1515,3206609,4,E,East,10,A,Abaxial,4-East,182.9,31,30.5,30.6
12/09/2018,15:22:44,12/09/2018 3:22:44PM,4E 10 AA,LPS1515,3206609,4,E,East,10,A,Adaxial,4-East,53,31,28.7,22.3
12/09/2018,15:25:27,12/09/2018 3:25:27PM,4E 14 AB,LPS1515,3206609,4,E,East,14,A,Abaxial,4-East,153.1,33.9,57.2,30.8
12/09/2018,15:27:20,12/09/2018 3:27:20PM,4E 14 AA,LPS1515,3206609,4,E,East,14,A,Adaxial,4-East,48.3,34.9,33.1,14.2
12/09/2018,15:29:18,12/09/2018 3:29:18PM,4W 1 AB,LPS1515,3206609,4,W,West,1,A,Abaxial,4-West,28.3,32.5,56.4,15.4
12/09/2018,15:30:57,12/09/2018 3:30:57PM,4W 1 AA,LPS1515,3206609,4,W,West,1,A,Adaxial,4-West,10.6,32.6,57.1,19.6
12/09/2018,15:33:13,12/09/2018 3:33:13PM,4W 4 AB,LPS1515,3206609,4,W,West,4,A,Abaxial,4-West,91.1,31.9,32.5,27
12/09/2018,15:34:30,12/09/2018 3:34:30PM,4W 4 AA,LPS1515,3206609,4,W,West,4,A,Adaxial,4-West,31.4,33.3,28.7,28.9
12/09/2018,15:37:02,12/09/2018 3:37:2PM,4W 11 AB,LPS1515,3206609,4,W,West,11,A,Abaxial,4-West,54.5,31.1,43.9,14.6
12/09/2018,15:38:04,12/09/2018 3:38:4PM,4W 11 AA,LPS1515,3206609,4,W,West,11,A,Adaxial,4-West,39.1,32.5,52,20
12/09/2018,15:39:08,12/09/2018 3:39:8PM,5E 1 AB,LPS1515,3206609,5,E,East,1,A,Abaxial,5-East,229.5,31,52.3,19.3
12/09/2018,15:40:42,12/09/2018 3:40:42PM,5E 1 AA,LPS1515,3206609,5,E,East,1,A,Adaxial,5-East,56.3,32.7,56,15.8
12/09/2018,15:43:15,12/09/2018 3:43:15PM,5E 5 AB,LPS1515,3206609,5,E,East,5,A,Abaxial,5-East,140.7,31.2,44.1,26.8
12/09/2018,15:45:57,12/09/2018 3:45:57PM,5E 5 AA,LPS1515,3206609,5,E,East,5,A,Adaxial,5-East,47.8,34.9,38.2,21.9
12/09/2018,15:47:35,12/09/2018 3:47:35PM,5W 2 AB,LPS1515,3206609,5,W,West,2,A,Abaxial,5-West,119.8,33.5,61.2,26.9
12/09/2018,15:49:13,12/09/2018 3:49:13PM,5W 2 AA,LPS1515,3206609,5,W,West,2,A,Adaxial,5-West,52.5,32.3,53.6,19.7
12/09/2018,15:50:49,12/09/2018 3:50:49PM,5W 6 AB,LPS1515,3206609,5,W,West,6,A,Abaxial,5-West,147.3,32.9,54.5,22.8
12/09/2018,15:53:21,12/09/2018 3:53:21PM,5W 6 AA,LPS1515,3206609,5,W,West,6,A,Adaxial,5-West,46.9,31.3,39,27.1
12/09/2018,15:56:17,12/09/2018 3:56:17PM,5W 7 AB,LPS1515,3206609,5,W,West,7,A,Abaxial,5-West,113.6,32.2,55.2,21.4
12/09/2018,15:58:51,12/09/2018 3:58:51PM,5W 7 AA,LPS1515,3206609,5,W,West,7,A,Adaxial,5-West,40.1,32.3,45.7,30.4
12/09/2018,15:59:58,12/09/2018 3:59:58PM,6E 2 AB,LPS1515,3206609,6,E,East,2,A,Abaxial,6-East,148.6,32.4,45.2,29.8
12/09/2018,16:01:34,12/09/2018 4:01:34PM,6E 2 AA,LPS1515,3206609,6,E,East,2,A,Adaxial,6-East,36.4,31.9,40.7,27.4
12/09/2018,16:02:35,12/09/2018 4:02:35PM,6E 4 AB,LPS1515,3206609,6,E,East,4,A,Abaxial,6-East,21,32.9,38,15.6
12/09/2018,16:04:16,12/09/2018 4:04:16PM,6E 4 AA,LPS1515,3206609,6,E,East,4,A,Adaxial,6-East,18.7,32.1,47,19.6
12/09/2018,16:06:38,12/09/2018 4:06:38PM,6E 7 AB,LPS1515,3206609,6,E,East,7,A,Abaxial,6-East,57.4,34.7,43.8,31.5
12/09/2018,16:08:34,12/09/2018 4:08:34PM,6E 7 AA,LPS1515,3206609,6,E,East,7,A,Adaxial,6-East,39,32,32.4,27.8
12/09/2018,16:11:16,12/09/2018 4:11:16PM,6W 1 AB,LPS1515,3206609,6,W,West,1,A,Abaxial,6-West,197.7,34.3,56.8,28.1
12/09/2018,16:13:08,12/09/2018 4:13:8PM,6W 1 AA,LPS1515,3206609,6,W,West,1,A,Adaxial,6-West,51.5,34.5,35.8,24.9
12/09/2018,16:14:44,12/09/2018 4:14:44PM,6W 13 AB,LPS1515,3206609,6,W,West,13,A,Abaxial,6-West,93.6,32.2,37.9,16.1
12/09/2018,16:16:44,12/09/2018 4:16:44PM,6W 13 AA,LPS1515,3206609,6,W,West,13,A,Adaxial,6-West,60.9,32.1,61.1,32.5
12/09/2018,16:19:34,12/09/2018 4:19:34PM,6W 16 AB,LPS1515,3206609,6,W,West,16,A,Abaxial,6-West,92.8,33.5,47.4,29.3
12/09/2018,16:21:39,12/09/2018 4:21:39PM,6W 16 AA,LPS1515,3206609,6,W,West,16,A,Adaxial,6-West,55.7,32.7,42.8,19.4
18/07/2018,12:06:34,18/07/2018 1:56:51PM,1E 6 AB,LPS1515,2506203,1,E,East,6,A,Abaxial,1-East,569,23.1,57.7,11.3
18/07/2018,14:00:03,18/07/2018 2:00:3PM,1E 6 AA,LPS1515,2506203,1,E,East,6,A,Adaxial,1-East,57.3,24.7,29.6,25.3
18/07/2018,14:03:16,18/07/2018 2:03:16PM,1E 13 AB,LPS1515,2506203,1,E,East,13,A,Abaxial,1-East,432,20.1,15.7,11.8
18/07/2018,14:06:33,18/07/2018 2:06:33PM,1E 13 AA,LPS1515,2506203,1,E,East,13,A,Adaxial,1-East,58.7,23.7,22.9,25.3
18/07/2018,14:09:53,18/07/2018 2:09:53PM,1E 14 AB,LPS1515,2506203,1,E,East,14,A,Abaxial,1-East,341.8,19,37.8,20.7
18/07/2018,14:13:04,18/07/2018 2:13:4PM,1E 14 AA,LPS1515,2506203,1,E,East,14,A,Adaxial,1-East,76.1,25.8,26.8,10.9
18/07/2018,14:16:24,18/07/2018 2:16:24PM,1W 6 AB,LPS1515,2506203,1,W,West,6,A,Abaxial,1-West,466.4,24.9,21,13.7
18/07/2018,14:20:12,18/07/2018 2:20:12PM,1W 6 AA,LPS1515,2506203,1,W,West,6,A,Adaxial,1-West,50.4,19,38.9,17.9
18/07/2018,14:22:56,18/07/2018 2:22:56PM,1W 13 AB,LPS1515,2506203,1,W,West,13,A,Abaxial,1-West,259,26.2,37.3,23.3
18/07/2018,14:25:55,18/07/2018 2:25:55PM,1W 13 AA,LPS1515,2506203,1,W,West,13,A,Adaxial,1-West,47.4,20.2,46.6,8.9
18/07/2018,14:29:02,18/07/2018 2:29:2PM,1W 15 AB,LPS1515,2506203,1,W,West,15,A,Abaxial,1-West,416,26.5,45.5,12.3
18/07/2018,14:31:51,18/07/2018 2:31:51PM,1W 15 AA,LPS1515,2506203,1,W,West,15,A,Adaxial,1-West,44.4,24.8,41.8,26.5
18/07/2018,14:34:36,18/07/2018 2:34:36PM,2E 1 AB,LPS1515,2506203,2,E,East,1,A,Abaxial,2-East,516.1,24.2,35.2,14.4
18/07/2018,14:37:18,18/07/2018 2:37:18PM,2E 1 AA,LPS1515,2506203,2,E,East,1,A,Adaxial,2-East,59.6,24.1,62.9,9.3
18/07/2018,14:40:55,18/07/2018 2:40:55PM,2E 4 AB,LPS1515,2506203,2,E,East,4,A,Abaxial,2-East,362.9,21.1,57.3,21.4
18/07/2018,14:44:25,18/07/2018 2:44:25PM,2E 4 AA,LPS1515,2506203,2,E,East,4,A,Adaxial,2-East,40.5,21.8,52.6,13.7
18/07/2018,14:47:09,18/07/2018 2:47:9PM,2E 11 AB,LPS1515,2506203,2,E,East,11,A,Abaxial,2-East,272.1,20.9,44.9,14.1
18/07/2018,14:50:17,18/07/2018 2:50:17PM,2E 11 AA,LPS1515,2506203,2,E,East,11,A,Adaxial,2-East,51.5,22.1,16.3,21
18/07/2018,14:52:49,18/07/2018 2:52:49PM,2W 1 AB,LPS1515,2506203,2,W,West,1,A,Abaxial,2-West,257.7,25.7,54.3,7.4
18/07/2018,14:56:35,18/07/2018 2:56:35PM,2W 1 AA,LPS1515,2506203,2,W,West,1,A,Adaxial,2-West,41.2,25.3,45.4,13.4
18/07/2018,15:00:27,18/07/2018 3:00:27PM,2W 3 AB,LPS1515,2506203,2,W,West,3,A,Abaxial,2-West,299.9,20.5,26.3,8.1
18/07/2018,15:02:49,18/07/2018 3:02:49PM,2W 3 AA,LPS1515,2506203,2,W,West,3,A,Adaxial,2-West,49.7,19.8,30.7,7.3
18/07/2018,15:04:52,18/07/2018 3:04:52PM,2W 10 AB,LPS1515,2506203,2,W,West,10,A,Abaxial,2-West,226.5,22,29.1,27.6
18/07/2018,15:08:35,18/07/2018 3:08:35PM,2W 10 AA,LPS1515,2506203,2,W,West,10,A,Adaxial,2-West,49.5,22.3,51,12.9
18/07/2018,15:11:15,18/07/2018 3:11:15PM,3E 2 AB,LPS1515,2506203,3,E,East,2,A,Abaxial,3-East,233.7,21.8,30.3,14.9
18/07/2018,15:14:32,18/07/2018 3:14:32PM,3E 2 AA,LPS1515,2506203,3,E,East,2,A,Adaxial,3-East,58.7,26.5,18.1,14.2
18/07/2018,15:16:53,18/07/2018 3:16:53PM,3E 11 AB,LPS1515,2506203,3,E,East,11,A,Abaxial,3-East,332.3,22.8,37.5,13.2
18/07/2018,15:19:56,18/07/2018 3:19:56PM,3E 11 AA,LPS1515,2506203,3,E,East,11,A,Adaxial,3-East,60.4,25.1,31.8,12.1
18/07/2018,15:22:19,18/07/2018 3:22:19PM,3E 15 AB,LPS1515,2506203,3,E,East,15,A,Abaxial,3-East,525.4,23.5,47.3,9
18/07/2018,15:25:31,18/07/2018 3:25:31PM,3E 15 AA,LPS1515,2506203,3,E,East,15,A,Adaxial,3-East,46.7,22.4,17.3,9.6
18/07/2018,15:28:28,18/07/2018 3:28:28PM,3W 7 AB,LPS1515,2506203,3,W,West,7,A,Abaxial,3-West,448.8,20.6,38.1,27.2
18/07/2018,15:31:14,18/07/2018 3:31:14PM,3W 7 AA,LPS1515,2506203,3,W,West,7,A,Adaxial,3-West,41.4,19,54.7,16.4
18/07/2018,15:33:49,18/07/2018 3:33:49PM,3W 11 AB,LPS1515,2506203,3,W,West,11,A,Abaxial,3-West,298.8,21.2,34.8,28.9
18/07/2018,15:37:31,18/07/2018 3:37:31PM,3W 11 AA,LPS1515,2506203,3,W,West,11,A,Adaxial,3-West,52.7,23.2,23.1,9.6
18/07/2018,15:40:39,18/07/2018 3:40:39PM,3W 14 AB,LPS1515,2506203,3,W,West,14,A,Abaxial,3-West,245.4,22.4,25.6,12.6
18/07/2018,15:43:15,18/07/2018 3:43:15PM,3W 14 AA,LPS1515,2506203,3,W,West,14,A,Adaxial,3-West,50.7,20.2,45.1,10.6
18/07/2018,15:46:29,18/07/2018 3:46:29PM,4E 3 AB,LPS1515,2506203,4,E,East,3,A,Abaxial,4-East,235.2,24.8,20.1,9.4
18/07/2018,15:49:43,18/07/2018 3:49:43PM,4E 3 AA,LPS1515,2506203,4,E,East,3,A,Adaxial,4-East,59,25,38.5,8.6
18/07/2018,15:52:59,18/07/2018 3:52:59PM,4E 10 AB,LPS1515,2506203,4,E,East,10,A,Abaxial,4-East,340.1,26.3,18,29.6
18/07/2018,15:55:35,18/07/2018 3:55:35PM,4E 10 AA,LPS1515,2506203,4,E,East,10,A,Adaxial,4-East,43.4,22.1,58.5,26.2
18/07/2018,15:58:35,18/07/2018 3:58:35PM,4E 14 AB,LPS1515,2506203,4,E,East,14,A,Abaxial,4-East,256.9,23.8,43.4,16.5
18/07/2018,16:00:46,18/07/2018 4:00:46PM,4E 14 AA,LPS1515,2506203,4,E,East,14,A,Adaxial,4-East,43.9,19.6,34.2,18.4
18/07/2018,16:03:42,18/07/2018 4:03:42PM,4W 1 AB,LPS1515,2506203,4,W,West,1,A,Abaxial,4-West,310.7,21.5,59.5,12.1
18/07/2018,16:06:46,18/07/2018 4:06:46PM,4W 1 AA,LPS1515,2506203,4,W,West,1,A,Adaxial,4-West,52,20.5,30.8,10
18/07/2018,16:10:45,18/07/2018 4:10:45PM,4W 4 AB,LPS1515,2506203,4,W,West,4,A,Abaxial,4-West,314.9,21.6,16.3,12.9
18/07/2018,16:12:54,18/07/2018 4:12:54PM,4W 4 AA,LPS1515,2506203,4,W,West,4,A,Adaxial,4-West,50.3,19.1,29.4,30.3
18/07/2018,16:16:06,18/07/2018 4:16:6PM,4W 11 AB,LPS1515,2506203,4,W,West,11,A,Abaxial,4-West,423,24.8,57.7,17.7
18/07/2018,16:18:45,18/07/2018 4:18:45PM,4W 11 AA,LPS1515,2506203,4,W,West,11,A,Adaxial,4-West,47,21.9,25,31.8
18/07/2018,16:22:33,18/07/2018 4:22:33PM,5E 1 AB,LPS1515,2506203,5,E,East,1,A,Abaxial,5-East,243.8,21.9,23.9,14.6
18/07/2018,16:26:32,18/07/2018 4:26:32PM,5E 1 AA,LPS1515,2506203,5,E,East,1,A,Adaxial,5-East,47.4,26.8,45.6,13.9
18/07/2018,16:28:44,18/07/2018 4:28:44PM,5E 5 AB,LPS1515,2506203,5,E,East,5,A,Abaxial,5-East,301,21.4,33.5,14.3
18/07/2018,16:31:38,18/07/2018 4:31:38PM,5E 5 AA,LPS1515,2506203,5,E,East,5,A,Adaxial,5-East,59.5,19.2,37.5,19.2
18/07/2018,16:34:03,18/07/2018 4:34:3PM,5W 2 AB,LPS1515,2506203,5,W,West,2,A,Abaxial,5-West,300.4,19.2,40.3,23.8
18/07/2018,16:37:48,18/07/2018 4:37:48PM,5W 2 AA,LPS1515,2506203,5,W,West,2,A,Adaxial,5-West,44.4,19.9,63.9,24.2
18/07/2018,16:40:27,18/07/2018 4:40:27PM,5W 6 AB,LPS1515,2506203,5,W,West,6,A,Abaxial,5-West,323.3,21.9,36.4,21.1
18/07/2018,16:43:37,18/07/2018 4:43:37PM,5W 6 AA,LPS1515,2506203,5,W,West,6,A,Adaxial,5-West,58.9,24,15.3,10.1
18/07/2018,16:47:11,18/07/2018 4:47:11PM,5W 7 AB,LPS1515,2506203,5,W,West,7,A,Abaxial,5-West,265.8,20.8,21.5,7.9
18/07/2018,16:50:13,18/07/2018 4:50:13PM,5W 7 AA,LPS1515,2506203,5,W,West,7,A,Adaxial,5-West,41.1,25.2,16.2,25.6
18/07/2018,16:52:53,18/07/2018 4:52:53PM,6E 2 AB,LPS1515,2506203,6,E,East,2,A,Abaxial,6-East,376.3,20.7,28.1,18.8
18/07/2018,16:56:42,18/07/2018 4:56:42PM,6E 2 AA,LPS1515,2506203,6,E,East,2,A,Adaxial,6-East,43,21.4,49.5,9.7
18/07/2018,17:00:39,18/07/2018 5:00:39PM,6E 4 AB,LPS1515,2506203,6,E,East,4,A,Abaxial,6-East,300.9,24.6,41.4,20.2
18/07/2018,17:02:41,18/07/2018 5:02:41PM,6E 4 AA,LPS1515,2506203,6,E,East,4,A,Adaxial,6-East,46,20.8,47.5,12.3
18/07/2018,17:05:35,18/07/2018 5:05:35PM,6E 7 AB,LPS1515,2506203,6,E,East,7,A,Abaxial,6-East,239.5,21.9,25.5,31.9
18/07/2018,17:09:23,18/07/2018 5:09:23PM,6E 7 AA,LPS1515,2506203,6,E,East,7,A,Adaxial,6-East,53.7,26.5,38.9,9.8
18/07/2018,17:12:28,18/07/2018 5:12:28PM,6W 1 AB,LPS1515,2506203,6,W,West,1,A,Abaxial,6-West,347.4,19.8,59.6,25.7
18/07/2018,17:16:03,18/07/2018 5:16:3PM,6W 1 AA,LPS1515,2506203,6,W,West,1,A,Adaxial,6-West,46.7,20,53.4,16.2
18/07/2018,17:19:10,18/07/2018 5:19:10PM,6W 13 AB,LPS1515,2506203,6,W,West,13,A,Abaxial,6-West,269.1,24.4,30.9,15.5
18/07/2018,17:22:00,18/07/2018 5:22:0PM,6W 13 AA,LPS1515,2506203,6,W,West,13,A,Adaxial,6-West,50,23.8,48.4,29.9
18/07/2018,17:25:16,18/07/2018 5:25:16PM,6W 16 AB,LPS1515,2506203,6,W,West,16,A,Abaxial,6-West,321.3,26.1,49.1,17
18/07/2018,17:27:58,18/07/2018 5:27:58PM,6W 16 AA,LPS1515,2506203,6,W,West,16,A,Adaxial,6-West,45.9,25.3,19.3,22.3
19/09/2018,13:00:20,19/09/2018 1:00:20PM,2E 11 AB,LPS1515,2806206,2,E,East,11,A,Abaxial,2-East,331.4,34.9,56.2,26.4
19/09/2018,13:02:14,19/09/2018 1:02:14PM,2E 11 AA,LPS1515,2806206,2,E,East,11,A,Adaxial,2-East,53.6,32.4,38.4,9.7
19/09/2018,13:04:33,19/09/2018 1:04:33PM,2W 1 AB,LPS1515,2806206,2,W,West,1,A,Abaxial,2-West,195.2,34.3,36.1,23.4
19/09/2018,13:05:50,19/09/2018 1:05:50PM,2W 1 AA,LPS1515,2806206,2,W,West,1,A,Adaxial,2-West,46.5,33.6,19.3,11
19/09/2018,13:08:39,19/09/2018 1:08:39PM,2W 3 AB,LPS1515,2806206,2,W,West,3,A,Abaxial,2-West,291.4,31.2,60.6,11.1
19/09/2018,13:09:45,19/09/2018 1:09:45PM,2W 3 AA,LPS1515,2806206,2,W,West,3,A,Adaxial,2-West,41.7,31.3,48.4,20
19/09/2018,13:10:47,19/09/2018 1:10:47PM,2W 10 AB,LPS1515,2806206,2,W,West,10,A,Abaxial,2-West,150.6,34.4,32.1,32.9
19/09/2018,13:13:01,19/09/2018 1:13:1PM,2W 10 AA,LPS1515,2806206,2,W,West,10,A,Adaxial,2-West,40.7,32.2,20.6,30.3
19/09/2018,13:15:52,19/09/2018 1:15:52PM,3E 2 AB,LPS1515,2806206,3,E,East,2,A,Abaxial,3-East,411.9,31.6,25.1,21.4
19/09/2018,13:18:41,19/09/2018 1:18:41PM,3E 2 AA,LPS1515,2806206,3,E,East,2,A,Adaxial,3-East,68.3,31,57.4,18.4
19/09/2018,13:21:35,19/09/2018 1:21:35PM,3E 11 AB,LPS1515,2806206,3,E,East,11,A,Abaxial,3-East,484,31.8,44.9,13.5
19/09/2018,13:22:56,19/09/2018 1:22:56PM,3E 11 AA,LPS1515,2806206,3,E,East,11,A,Adaxial,3-East,55.8,31.9,40.7,12.2
19/09/2018,13:24:05,19/09/2018 1:24:5PM,3E 15 AB,LPS1515,2806206,3,E,East,15,A,Abaxial,3-East,471,33.3,23,21.1
19/09/2018,13:25:43,19/09/2018 1:25:43PM,3E 15 AA,LPS1515,2806206,3,E,East,15,A,Adaxial,3-East,49.2,31.9,32.9,32.6
19/09/2018,13:26:44,19/09/2018 1:26:44PM,3W 7 AB,LPS1515,2806206,3,W,West,7,A,Abaxial,3-West,269.2,32.5,31.2,11.8
19/09/2018,13:28:36,19/09/2018 1:28:36PM,3W 7 AA,LPS1515,2806206,3,W,West,7,A,Adaxial,3-West,51.2,31.6,24.7,26.7
19/09/2018,13:30:38,19/09/2018 1:30:38PM,3W 11 AB,LPS1515,2806206,3,W,West,11,A,Abaxial,3-West,161.7,32.6,25.9,32.3
19/09/2018,13:32:40,19/09/2018 1:32:40PM,3W 11 AA,LPS1515,2806206,3,W,West,11,A,Adaxial,3-West,54.2,32,19.2,30
19/09/2018,13:33:48,19/09/2018 1:33:48PM,3W 14 AB,LPS1515,2806206,3,W,West,14,A,Abaxial,3-West,201.1,34.5,18.8,16.3
19/09/2018,13:36:02,19/09/2018 1:36:2PM,3W 14 AA,LPS1515,2806206,3,W,West,14,A,Adaxial,3-West,48.8,32.6,41.6,30.1
19/09/2018,13:38:00,19/09/2018 1:38:0PM,4E 3 AB,LPS1515,2806206,4,E,East,3,A,Abaxial,4-East,205.9,32.6,59.6,31.4
19/09/2018,13:40:48,19/09/2018 1:40:48PM,4E 3 AA,LPS1515,2806206,4,E,East,3,A,Adaxial,4-East,57.1,31.2,41.8,18.7
19/09/2018,13:42:02,19/09/2018 1:42:2PM,4E 10 AB,LPS1515,2806206,4,E,East,10,A,Abaxial,4-East,204.9,31.1,36.1,32.3
