PotType,Phase,Experiment,SLA_mm2.mg.mean,SLA_mm2.mg.std.error,LDMC_mg.g.mean,LDMC_mg.g.std.error,Ht_cm.mean,Ht_cm.std.error,SLA_mm2.mg.mean,LDMC_mg.g.mean,Ht_cm.mean,SLA_mm2.mg.std.error,LDMC_mg.g.std.error,Ht_cm.std.error,Exp,Ph
RyeRye,Recovery,Double,26.7,0.7,200.5,5.4,90,8.2,26.65761232,200.5372696,90,0.733922659,5.405072084,8.164965809,2,3
FesFes,Recovery,Long,17.4,0.8,209.9,4,74.2,5.8,17.4276897,209.8866748,74.16666667,0.754810825,3.984231141,5.833333333,2,3
FesMix,Recovery,Long,22.4,0.3,189.8,5.5,75.8,8.1,22.39366716,189.7835782,75.83333333,0.314034595,5.51195627,8.105210944,2,3
PhaMix,Recovery,Long,27.9,0.7,218.1,5.9,190,18.3,27.88217289,218.0565018,190,0.690999065,5.877910429,18.25741858,2,3
PhaPha,Recovery,Long,27.9,0.6,184.3,2.5,192.5,21.7,27.91483509,184.300972,192.5,0.631045202,2.476892689,21.66987156,2,3
RyeMix,Recovery,Long,29.4,0.7,194.6,5.8,93.3,2.8,29.3576261,194.5615181,93.33333333,0.739882628,5.813200828,2.788866755,2,3
RyeRye,Recovery,Long,29.5,0.3,197.8,5.4,101.7,13.8,29.48520393,197.795396,101.6666667,0.281682145,5.404180872,13.82429424,2,3
FesFes,Recovery,Short,17.7,0.7,236.4,7,72.5,2.1,17.66085732,236.4391294,72.5,0.656891726,7.044935733,2.140872096,2,3
FesMix,Recovery,Short,20,0.4,252.1,6.6,63.3,1.7,20.0064553,252.1429776,63.33333333,0.41327576,6.563419777,1.666666667,2,3
PhaMix,Recovery,Short,28.6,0.4,208.4,3.3,55,3.7,28.57580684,208.3716356,55,0.427603695,3.34979628,3.651483717,2,3
PhaPha,Recovery,Short,27.7,0.4,200.8,6.4,73.3,4,27.66234065,200.7645647,73.33333333,0.417762244,6.379632057,4.01386486,2,3
RyeMix,Recovery,Short,29.7,1,253.6,2.6,77.5,3.8,29.6706465,253.5958895,77.5,1.0396371,2.64106851,3.818813079,2,3
RyeRye,Recovery,Short,19.2,0.5,271.9,13.4,73,6,19.227968,271.9312113,73,0.51129377,13.39192265,6.041522987,2,3
